index,time_ns,time_us,phase,model_cycle,operation_cycle,clk,rstn,cmd,data_in,valid_out,data_out,state
191,384000,384.000,CFG_TOTAL_WRITE_READ,192,0,0,1,0,0x00,0,0x00,IDLE
192,386000,386.000,ADC_ASYNC_LOCKED,193,0,0,1,1,0x0D,0,0x00,ADC_TEST
193,398000,398.000,ADC_ASYNC_LOCKED,194,0,0,1,1,0x00,0,0x00,IDLE
194,400000,400.000,ADC_ASYNC_LOCKED,195,0,0,1,0,0x00,0,0x00,IDLE
195,402000,402.000,ADC_ASYNC_LOCKED,196,0,0,1,0,0x00,0,0x00,IDLE
196,404000,404.000,ADC_ASYNC_LOCKED,197,0,0,1,0,0x00,0,0x00,IDLE
197,406000,406.000,OCTDC_ASYNC_LOCKED,198,0,0,1,1,0x0C,0,0x00,OCTDC_TEST
198,418000,418.000,OCTDC_ASYNC_LOCKED,199,0,0,1,1,0x00,0,0x00,IDLE
199,420000,420.000,OCTDC_ASYNC_LOCKED,200,0,0,1,0,0x00,0,0x00,IDLE
200,422000,422.000,OCTDC_ASYNC_LOCKED,201,0,0,1,0,0x00,0,0x00,IDLE
201,424000,424.000,OCTDC_ASYNC_LOCKED,202,0,0,1,0,0x00,0,0x00,IDLE
