index,time_ns,time_us,phase,model_cycle,operation_cycle,clk,rstn,cmd,data_in,valid_out,data_out,state
175,171000,171.000,CFG_TOTAL_WRITE_READ,86,0,1,1,0,0x00,0,0x00,IDLE
176,172000,172.000,CFG_TOTAL_WRITE_READ,86,0,0,1,0,0x00,0,0x00,IDLE
177,173000,173.000,CFG_TOTAL_WRITE_READ,87,0,1,1,0,0x00,0,0x00,IDLE
178,174000,174.000,CFG_TOTAL_WRITE_READ,87,0,0,1,1,0x0E,0,0x00,IDLE
179,175000,175.000,CFG_TOTAL_WRITE_READ,88,0,1,1,1,0x0E,0,0x00,WRITE_CFG_MODE
180,176000,176.000,CFG_TOTAL_WRITE_READ,88,0,0,1,0,0x01,0,0x00,WRITE_CFG_MODE
181,177000,177.000,CFG_TOTAL_WRITE_READ,89,1,1,1,0,0x01,0,0xE0,WRITE_CFG_TOTAL
182,178000,178.000,CFG_TOTAL_WRITE_READ,89,1,0,1,0,0x55,0,0xE0,WRITE_CFG_TOTAL
183,179000,179.000,CFG_TOTAL_WRITE_READ,90,2,1,1,0,0x55,0,0x00,WRITE_CFG_TOTAL
184,180000,180.000,CFG_TOTAL_WRITE_READ,90,2,0,1,0,0xAA,0,0x00,WRITE_CFG_TOTAL
185,181000,181.000,CFG_TOTAL_WRITE_READ,91,3,1,1,0,0xAA,0,0x01,WRITE_CFG_TOTAL
186,182000,182.000,CFG_TOTAL_WRITE_READ,91,3,0,1,0,0x55,0,0x01,WRITE_CFG_TOTAL
187,183000,183.000,CFG_TOTAL_WRITE_READ,92,4,1,1,0,0x55,0,0x02,WRITE_CFG_TOTAL
188,184000,184.000,CFG_TOTAL_WRITE_READ,92,4,0,1,0,0xAA,0,0x02,WRITE_CFG_TOTAL
189,185000,185.000,CFG_TOTAL_WRITE_READ,93,5,1,1,0,0xAA,0,0x03,WRITE_CFG_TOTAL
190,186000,186.000,CFG_TOTAL_WRITE_READ,93,5,0,1,0,0x55,0,0x03,WRITE_CFG_TOTAL
191,187000,187.000,CFG_TOTAL_WRITE_READ,94,6,1,1,0,0x55,0,0x04,WRITE_CFG_TOTAL
192,188000,188.000,CFG_TOTAL_WRITE_READ,94,6,0,1,0,0xAA,0,0x04,WRITE_CFG_TOTAL
193,189000,189.000,CFG_TOTAL_WRITE_READ,95,7,1,1,0,0xAA,0,0x05,WRITE_CFG_TOTAL
194,190000,190.000,CFG_TOTAL_WRITE_READ,95,7,0,1,0,0x55,0,0x05,WRITE_CFG_TOTAL
195,191000,191.000,CFG_TOTAL_WRITE_READ,96,8,1,1,0,0x55,0,0x06,WRITE_CFG_TOTAL
